mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,prfstate,openrun,SGG
PF198603,"PAN 세 번째 정기연주회, MISERERE: 위로 [대구]",2022.10.15,2022.10.15,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198603_220922_131816.jpg,클래식,공연예정,N,중구
PF198581,시골쥐와 서울쥐 [대구],2022.10.15,2022.11.27,대백프라자,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198581_220922_100402.jpg,연극,공연예정,N,중구
PF198529,"아름다운 마지막 수요일 Ⅶ, 퍼커셔니스타: Percussive Guys",2022.10.26,2022.10.26,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198529_220921_112422.jpg,클래식,공연예정,N,중구
PF198440,백준원 바이올린 리사이틀 [대구],2022.10.08,2022.10.08,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198440_220920_131437.jpg,클래식,공연예정,N,중구
PF198422,경로당 폰팅사건 [대구],2022.09.30,2022.10.08,예술극장 온,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198422_220920_114712.jpg,연극,공연예정,N,중구
PF198308,제488회 대구시립교향악단 정기연주회,2022.10.21,2022.10.21,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198308_220916_150914.gif,클래식,공연예정,N,중구
PF198046,김단희 서도소리 독창회 [대구],2022.10.06,2022.10.06,봉산문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198046_220914_100110.jpg,국악,공연예정,N,중구
PF197988,제4회 노이슈타트 정기연주회 [대구],2022.10.09,2022.10.09,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197988_220913_142905.jpg,클래식,공연예정,N,중구
PF197917,중앙아시아 6개국 수교 30주년 기념음악회 [대구],2022.10.04,2022.10.04,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197917_220913_095000.jpg,클래식,공연예정,N,중구
PF197908,"클래식 시어터, 김진균, 산 너머 저 하늘이 [대구]",2022.09.27,2022.09.27,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197908_220913_092308.jpg,클래식,공연예정,N,중구
PF197886,"월드오케스트라시리즈, 경북예술고등학교 오케스트라",2022.11.03,2022.11.03,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197886_220908_144958.jpg,클래식,공연예정,N,중구
PF197884,"월드오케스트라시리즈, 경상북도 도립교향악단",2022.10.19,2022.10.19,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197884_220908_144829.jpg,클래식,공연예정,N,중구
PF197881,"월드오케스트라시리즈, 김동현 & 스위스 취리히 유스 오케스트라",2022.10.16,2022.10.16,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197881_220908_144504.jpg,클래식,공연예정,N,중구
PF197880,"월드오케스트라시리즈, 김선욱 & 유럽 챔버 오케스트라",2022.11.10,2022.11.10,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197880_220908_144321.jpg,클래식,공연예정,N,중구
PF197879,"월드오케스트라시리즈, WOS 비르투오소 챔버",2022.11.12,2022.11.12,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197879_220908_144144.gif,클래식,공연예정,N,중구
PF197875,"월드오케스트라시리즈, 대구유스오케스트라",2022.11.08,2022.11.08,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197875_220908_143503.jpg,클래식,공연예정,N,중구
PF197806,"월드오케스트라시리즈, 조성진, 사이먼 래틀 & 런던 심포니 오케스트라",2022.10.11,2022.10.11,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197806_220908_101709.jpg,클래식,공연예정,N,중구
PF197796,"월드오케스트라시리즈, 파비오 비온디 & 에우로파 갈란테",2022.11.04,2022.11.04,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197796_220908_095104.jpg,클래식,공연예정,N,중구
PF197794,"월드오케스트라시리즈, 펠리체심포니오케스트라",2022.10.30,2022.10.30,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197794_220908_094703.jpg,클래식,공연예정,N,중구
PF197753,겨울왕국: 겨울이야기 [대구],2022.11.19,2022.11.20,대백프라자,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197753_220907_102013.gif,뮤지컬,공연예정,N,중구
PF197654,"봉포유 라온스테이지 III, 브리즈",2022.10.01,2022.10.01,봉산문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197654_220905_155949.jpg,뮤지컬,공연예정,N,중구
PF197456,"명연주시리즈, 레오니다스 카바코스 바이올린 리사이틀 Ⅰ [대구]",2022.10.12,2022.10.12,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197456_220901_143315.gif,클래식,공연예정,N,중구
PF197407,"명연주시리즈, 레오니다스 카바코스 바이올린 리사이틀 Ⅱ [대구]",2022.10.13,2022.10.13,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197407_220901_104701.gif,클래식,공연예정,N,중구
PF197390,"명연주시리즈, 이고르 레비트 피아노 리사이틀",2022.11.16,2022.11.16,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197390_220901_093501.jpg,클래식,공연예정,N,중구
PF197258,인생은 아름다워 [대구],2022.09.28,2022.09.28,대백프라자,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197258_220830_111214.jpg,연극,공연예정,N,중구
PF197127,내 모든걸 [대구],2022.09.21,2022.11.13,문화예술전용극장CT,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197127_220829_112846.jpg,연극,공연중,N,중구
PF197058,행오버 [대구],2022.10.20,2022.11.20,송죽씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197058_220826_115512.gif,연극,공연예정,N,중구
PF196955,"아름다운 마지막 수요일 Ⅵ, 카메라타 대구: 첼로의 숨소리 [대구]",2022.09.28,2022.09.28,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF196955_220824_135249.gif,클래식,공연예정,N,중구
PF196919,"인사이트시리즈, 프랑수아 를뢰 & 에마뉘엘 스트로세 듀오 리사이틀",2022.09.30,2022.09.30,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF196919_220824_114701.jpg,클래식,공연예정,N,중구
PF196610,미운아기오리 [대구],2022.08.27,2022.10.10,대백프라자,http://www.kopis.or.kr/upload/pfmPoster/PF_PF196610_220819_104105.jpg,연극,공연중,N,중구
PF195670,사운드 오브 뮤직 [대구],2022.10.01,2022.10.03,대백프라자,http://www.kopis.or.kr/upload/pfmPoster/PF_PF195670_220803_115309.gif,뮤지컬,공연예정,N,중구
